Nr;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;StanDost;Wart;OstRez;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
1;130;#MEI0;WODOMIERZ AQUARIUS 2,5 R100/40 DN15;M00012;L=110MM;63.000;;1160708;MELE01;14217945;1;4000;STE;SCE;03513;
2;130;#MEI0;CIEPŁOMIERZ MULTICAL MC402 Q=0,6M3/H;402WXXXXX1236PG;L=110MM MONTOWANY NA POWROCIE;60.000;;1160708;MELE01;14217945;1;5000;STE;SCE;03513;
3;130;#MEI0;CIEPŁOMIERZ MULTICAL MC402 Q=1,5M3/H;402WXXXXX4236PG;L=110MM MONTOWANY NA POWROCIE;3.000;;1160708;MELE01;14217945;1;6000;STE;SCE;03513;
4;130;#WAVA;RURA ST RC WODA SDR11 DN40X3.7 (100M);WAVHA;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;190.000;;1160817;WABU01;14229148;1;1000;SH2;SHA;03630;
5;130;UPCKT315BE;TRÓJNIK PVC KANALIZACYJNY 315x160/87°ZEW;23325;.;1.000;;1150924;MALI01;14138813;1;1000;SH2;SHA;03630;
6;130;#FNS;WŁAZ KANAŁOWY D400 Z WENTYLACJĄ;89480121;Z WYPEŁNIENIEM BETONOWYM DN680;5.000;;1160722;FAKO01;14142039;1;1000;SH2;SHB;03511;
7;130;#FNS;WŁAZ KANAŁOWY D400 BEZ WENTYLACJI;8948551;Z WYPEŁNIENIEM BETONOWYM DN680 Z ZAB.;10.000;;1151012;FAKO01;14142039;1;2000;SH2;SHB;03511;
8;130;#FNS;POKRYWA WŁAZU D400 BEZ WENTYLACJI;8948551P;BETON DN680;40.000;;1151012;FAKO01;14142039;1;5000;SH2;SHB;03511;
9;130;#FNS;POKRYWA WŁAZU D400 BEZ WENTYLACJI;8947551P;ŻELIWO DN680;20.000;;1160722;FAKO01;14142039;1;6000;SH2;SHB;03511;
10;130;#FNS;PALETA DREWNIANA;FNS;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;25.000;;1160816;FAKO01;14142039;1;9000;SH2;SHB;03511;
11;130;#AVKAB;HYDRANT NADZIEMNY  ZABEZPIECZENIE;84-080-93-31101010;84/93-N7 DN80 RD1250;1.000;;1160225;AVPN01;14182030;1;45000;SH2;SHA;03630;
12;130;JFHN800408125;HYDRANT NADZIEMNY DN80 RD=1250MM;8004008022;ŁAMANY POJ. ZAMK. NR KAT. 8004 GGG40;4.000;;1160518;JAJA01;14204743;1;33000;SH2;SHA;03630;
13;130;JFPALETA;PALETA 1200x800;PALETA;;1.000;;1160518;JAJA01;14204743;1;52000;SH2;SHA;03630;
14;130;JFPRZEKLADKAL;PRZEKŁADKA ŁADUNKOWA - DYBY DO HYDRANTÓW;PRZEKLADKAL;;2.000;;1160518;JAJA01;14204743;1;53000;SH2;SHA;03630;
15;130;GEMSCRU19457;RURA 42x1,5 OCYNKOWANA DWUSTRONNIE 6M;19457;C-STAHL MAPRESS STAL WĘGLOWA WIĄZKA 30M;108.000;;1160620;GEWA01;14210668;1;2000;STC;SCC;03510;
16;130;KGBDKOD;KONSTRUKCJA OCHRONNA Z DREWNA;KGBKOD;;5.000;;1160707;KEHA04;14218579;1;19000;SH2;SHA;03630;
17;130;KGBDSM1;SMAR KERAMO 1KG;KGSM1KG;;3.000;;1160707;KEHA04;14218579;1;20000;SH2;SHA;03630;
18;130;UPCKRL400SD;RURA PVC KANALIZACYJNA 400x3000 LITA SN8;226028;(S);3.000;;1160708;MALI01;14219811;1;1000;SH2;SHA;03631;
19;130;ACG006000;KORPUS G100 100CM T0.0;06000;;5.000;;1160930;ACLE01;14245462;1;1000;STC;SCC;03727;
20;130;ACG006336;SKRZYNKA G100 ODPŁYWOWA EK37 Z KOSZEM;06336;OSADCZYM;1.000;;1160930;ACLE01;14245462;1;2000;STC;SCC;03727;
21;130;ACO006305;RUSZT G100 KRAT.OCYNK 100CM KL.B;06305;;5.000;;1160930;ACLE01;14245462;1;3000;STC;SCC;03727;
22;130;ACG006306;RUSZT GALA OCYNK.KRATOWY 30x20 KL.B;06306;L=0.5;1.000;;1160930;ACLE01;14245462;1;4000;STC;SCC;03727;
23;130;ACG006308;MOCOWANIE DO RUSZTÓW 6305 6306;06308;;11.000;;1160930;ACLE01;14245462;1;5000;STC;SCC;03727;
